"condition","id","description","scene","url"
"human","human-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","desc2scene-2409","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2409/desc2scene-2409-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-522","A room with a computer desk and an open window","mturk-dev-rulebased5.s522-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s522/mturk-dev-rulebased5-s522-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-522","A room with a computer desk and an open window","mturk-dev-random1.s522-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s522/mturk-dev-random1-s522-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-522","A room with a computer desk and an open window","mturk-dev-maxent2.s522-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s522/mturk-dev-maxent2-s522-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-522","A room with a computer desk and an open window","mturk-dev-sempre103.s522-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s522/mturk-dev-sempre103-s522-00000-2.jpg"
"human","human-522","A room with a computer desk and an open window","desc2scene-1026","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-1026/desc2scene-1026-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-16","A round table is in the center of the room with four chairs around the table.   There is a double window facing west.  A door is on the east side of the room.","mturk-dev-rulebased5.s16-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s16/mturk-dev-rulebased5-s16-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-16","A round table is in the center of the room with four chairs around the table.   There is a double window facing west.  A door is on the east side of the room.","mturk-dev-random1.s16-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s16/mturk-dev-random1-s16-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-16","A round table is in the center of the room with four chairs around the table.   There is a double window facing west.  A door is on the east side of the room.","mturk-dev-maxent2.s16-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s16/mturk-dev-maxent2-s16-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-16","A round table is in the center of the room with four chairs around the table.   There is a double window facing west.  A door is on the east side of the room.","mturk-dev-sempre103.s16-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s16/mturk-dev-sempre103-s16-00000-2.jpg"
"human","human-16","A round table is in the center of the room with four chairs around the table.   There is a double window facing west.  A door is on the east side of the room.","desc2scene-2301","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2301/desc2scene-2301-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-276","There is a dining table and two chairs.","mturk-dev-rulebased5.s276-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s276/mturk-dev-rulebased5-s276-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-276","There is a dining table and two chairs.","mturk-dev-random1.s276-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s276/mturk-dev-random1-s276-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-276","There is a dining table and two chairs.","mturk-dev-maxent2.s276-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s276/mturk-dev-maxent2-s276-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-276","There is a dining table and two chairs.","mturk-dev-sempre103.s276-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s276/mturk-dev-sempre103-s276-00000-2.jpg"
"human","human-276","There is a dining table and two chairs.","desc2scene-2538","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2538/desc2scene-2538-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-21","There are 2 chairs and a table placed near a bay window on the right wall. There are 2 inset shelves in the center wall.","mturk-dev-rulebased5.s21-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s21/mturk-dev-rulebased5-s21-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-21","There are 2 chairs and a table placed near a bay window on the right wall. There are 2 inset shelves in the center wall.","mturk-dev-random1.s21-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s21/mturk-dev-random1-s21-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-21","There are 2 chairs and a table placed near a bay window on the right wall. There are 2 inset shelves in the center wall.","mturk-dev-maxent2.s21-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s21/mturk-dev-maxent2-s21-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-21","There are 2 chairs and a table placed near a bay window on the right wall. There are 2 inset shelves in the center wall.","mturk-dev-sempre103.s21-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s21/mturk-dev-sempre103-s21-00000-2.jpg"
"human","human-21","There are 2 chairs and a table placed near a bay window on the right wall. There are 2 inset shelves in the center wall.","desc2scene-4201","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4201/desc2scene-4201-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-25","There is a desk. There is a chair on the left side of the desk.","mturk-dev-rulebased5.s25-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s25/mturk-dev-rulebased5-s25-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-25","There is a desk. There is a chair on the left side of the desk.","mturk-dev-random1.s25-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s25/mturk-dev-random1-s25-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-25","There is a desk. There is a chair on the left side of the desk.","mturk-dev-maxent2.s25-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s25/mturk-dev-maxent2-s25-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-25","There is a desk. There is a chair on the left side of the desk.","mturk-dev-sempre103.s25-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s25/mturk-dev-sempre103-s25-00000-2.jpg"
"human","human-25","There is a desk. There is a chair on the left side of the desk.","desc2scene-1942","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-1942/desc2scene-1942-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-539","There is a bed against the wall with the decal and a laptop on the bed.","mturk-dev-rulebased5.s539-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s539/mturk-dev-rulebased5-s539-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-539","There is a bed against the wall with the decal and a laptop on the bed.","mturk-dev-random1.s539-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s539/mturk-dev-random1-s539-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-539","There is a bed against the wall with the decal and a laptop on the bed.","mturk-dev-maxent2.s539-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s539/mturk-dev-maxent2-s539-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-539","There is a bed against the wall with the decal and a laptop on the bed.","mturk-dev-sempre103.s539-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s539/mturk-dev-sempre103-s539-00000-2.jpg"
"human","human-539","There is a bed against the wall with the decal and a laptop on the bed.","desc2scene-981","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-981/desc2scene-981-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-29","there is a white round table and chair in the center of the room","mturk-dev-rulebased5.s29-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s29/mturk-dev-rulebased5-s29-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-29","there is a white round table and chair in the center of the room","mturk-dev-random1.s29-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s29/mturk-dev-random1-s29-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-29","there is a white round table and chair in the center of the room","mturk-dev-maxent2.s29-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s29/mturk-dev-maxent2-s29-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-29","there is a white round table and chair in the center of the room","mturk-dev-sempre103.s29-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s29/mturk-dev-sempre103-s29-00000-2.jpg"
"human","human-29","there is a white round table and chair in the center of the room","desc2scene-1906","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-1906/desc2scene-1906-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-547","There is a desk up against the wall","mturk-dev-rulebased5.s547-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s547/mturk-dev-rulebased5-s547-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-547","There is a desk up against the wall","mturk-dev-random1.s547-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s547/mturk-dev-random1-s547-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-547","There is a desk up against the wall","mturk-dev-maxent2.s547-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s547/mturk-dev-maxent2-s547-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-547","There is a desk up against the wall","mturk-dev-sempre103.s547-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s547/mturk-dev-sempre103-s547-00000-2.jpg"
"human","human-547","There is a desk up against the wall","desc2scene-1026","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-1026/desc2scene-1026-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-7","There is a red couch, an oval glass coffee table, and a vase on one side of the room. One of the adjacent walls has a wooden wave-like application.","mturk-dev-rulebased5.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s7/mturk-dev-rulebased5-s7-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-7","There is a red couch, an oval glass coffee table, and a vase on one side of the room. One of the adjacent walls has a wooden wave-like application.","mturk-dev-random1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s7/mturk-dev-random1-s7-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-7","There is a red couch, an oval glass coffee table, and a vase on one side of the room. One of the adjacent walls has a wooden wave-like application.","mturk-dev-maxent2.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s7/mturk-dev-maxent2-s7-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-7","There is a red couch, an oval glass coffee table, and a vase on one side of the room. One of the adjacent walls has a wooden wave-like application.","mturk-dev-sempre103.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s7/mturk-dev-sempre103-s7-00000-2.jpg"
"human","human-7","There is a red couch, an oval glass coffee table, and a vase on one side of the room. One of the adjacent walls has a wooden wave-like application.","desc2scene-851","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-851/desc2scene-851-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-161","There is a bed on the left of the room with pillows and blankets on it. There is also a night stand, and lamp next to the bed, and the window of the room is open.","mturk-dev-rulebased5.s161-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s161/mturk-dev-rulebased5-s161-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-161","There is a bed on the left of the room with pillows and blankets on it. There is also a night stand, and lamp next to the bed, and the window of the room is open.","mturk-dev-random1.s161-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s161/mturk-dev-random1-s161-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-161","There is a bed on the left of the room with pillows and blankets on it. There is also a night stand, and lamp next to the bed, and the window of the room is open.","mturk-dev-maxent2.s161-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s161/mturk-dev-maxent2-s161-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-161","There is a bed on the left of the room with pillows and blankets on it. There is also a night stand, and lamp next to the bed, and the window of the room is open.","mturk-dev-sempre103.s161-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s161/mturk-dev-sempre103-s161-00000-2.jpg"
"human","human-161","There is a bed on the left of the room with pillows and blankets on it. There is also a night stand, and lamp next to the bed, and the window of the room is open.","desc2scene-2297","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2297/desc2scene-2297-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-551","There is a table with 2 chairs near the center of the room.","mturk-dev-rulebased5.s551-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s551/mturk-dev-rulebased5-s551-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-551","There is a table with 2 chairs near the center of the room.","mturk-dev-random1.s551-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s551/mturk-dev-random1-s551-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-551","There is a table with 2 chairs near the center of the room.","mturk-dev-maxent2.s551-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s551/mturk-dev-maxent2-s551-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-551","There is a table with 2 chairs near the center of the room.","mturk-dev-sempre103.s551-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s551/mturk-dev-sempre103-s551-00000-2.jpg"
"human","human-551","There is a table with 2 chairs near the center of the room.","desc2scene-905","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-905/desc2scene-905-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-297","Glass coffee table on the west side of the room, with a blue desk chair on the east and west sides.","mturk-dev-rulebased5.s297-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s297/mturk-dev-rulebased5-s297-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-297","Glass coffee table on the west side of the room, with a blue desk chair on the east and west sides.","mturk-dev-random1.s297-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s297/mturk-dev-random1-s297-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-297","Glass coffee table on the west side of the room, with a blue desk chair on the east and west sides.","mturk-dev-maxent2.s297-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s297/mturk-dev-maxent2-s297-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-297","Glass coffee table on the west side of the room, with a blue desk chair on the east and west sides.","mturk-dev-sempre103.s297-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s297/mturk-dev-sempre103-s297-00000-2.jpg"
"human","human-297","Glass coffee table on the west side of the room, with a blue desk chair on the east and west sides.","desc2scene-2701","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2701/desc2scene-2701-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-555","There is a desk, desk chair, and floor lamp all groped together in the corner of the room.  There are 3 large windows on the wall across from the desk.","mturk-dev-rulebased5.s555-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s555/mturk-dev-rulebased5-s555-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-555","There is a desk, desk chair, and floor lamp all groped together in the corner of the room.  There are 3 large windows on the wall across from the desk.","mturk-dev-random1.s555-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s555/mturk-dev-random1-s555-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-555","There is a desk, desk chair, and floor lamp all groped together in the corner of the room.  There are 3 large windows on the wall across from the desk.","mturk-dev-maxent2.s555-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s555/mturk-dev-maxent2-s555-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-555","There is a desk, desk chair, and floor lamp all groped together in the corner of the room.  There are 3 large windows on the wall across from the desk.","mturk-dev-sempre103.s555-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s555/mturk-dev-sempre103-s555-00000-2.jpg"
"human","human-555","There is a desk, desk chair, and floor lamp all groped together in the corner of the room.  There are 3 large windows on the wall across from the desk.","desc2scene-880","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-880/desc2scene-880-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-300","There\'s a coffee table with a red vase on it on the right wall (if you\'re facing the windows)","mturk-dev-rulebased5.s300-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s300/mturk-dev-rulebased5-s300-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-300","There\'s a coffee table with a red vase on it on the right wall (if you\'re facing the windows)","mturk-dev-random1.s300-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s300/mturk-dev-random1-s300-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-300","There\'s a coffee table with a red vase on it on the right wall (if you\'re facing the windows)","mturk-dev-maxent2.s300-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s300/mturk-dev-maxent2-s300-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-300","There\'s a coffee table with a red vase on it on the right wall (if you\'re facing the windows)","mturk-dev-sempre103.s300-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s300/mturk-dev-sempre103-s300-00000-2.jpg"
"human","human-300","There\'s a coffee table with a red vase on it on the right wall (if you\'re facing the windows)","desc2scene-2695","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2695/desc2scene-2695-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-45","There is a white desk along one wall of the room.  There is an open window on another wall with a brown frame.","mturk-dev-rulebased5.s45-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s45/mturk-dev-rulebased5-s45-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-45","There is a white desk along one wall of the room.  There is an open window on another wall with a brown frame.","mturk-dev-random1.s45-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s45/mturk-dev-random1-s45-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-45","There is a white desk along one wall of the room.  There is an open window on another wall with a brown frame.","mturk-dev-maxent2.s45-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s45/mturk-dev-maxent2-s45-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-45","There is a white desk along one wall of the room.  There is an open window on another wall with a brown frame.","mturk-dev-sempre103.s45-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s45/mturk-dev-sempre103-s45-00000-2.jpg"
"human","human-45","There is a white desk along one wall of the room.  There is an open window on another wall with a brown frame.","desc2scene-1026","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-1026/desc2scene-1026-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-46","There is a circular yellow table towards the back of the room. On the table is a white plate and on the plate is a sandwich being held together by a cocktail stick.","mturk-dev-rulebased5.s46-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s46/mturk-dev-rulebased5-s46-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-46","There is a circular yellow table towards the back of the room. On the table is a white plate and on the plate is a sandwich being held together by a cocktail stick.","mturk-dev-random1.s46-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s46/mturk-dev-random1-s46-00000-2.jpg"
