"condition","id","description","scene","url"
"full-layout/seedsents-random","full-layout/seedsents-random-2","There is a desk and a laptop.","seedsents-random1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s2/seedsents-random1-s2-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-2","There is a desk and a laptop.","seedsents-rulebased5.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s2/seedsents-rulebased5-s2-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-2","There is a desk and a laptop.","seedsents-maxent-rb1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s2/seedsents-maxent-rb1-s2-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-2","There is a desk and a laptop.","seedsents-maxent1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s2/seedsents-maxent1-s2-00000-2.jpg"
"human","human-2","There is a desk and a laptop.","desc2scene-2702","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2702/desc2scene-2702-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-3","There is a desk and a lamp.","seedsents-random1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s3/seedsents-random1-s3-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-3","There is a desk and a lamp.","seedsents-rulebased5.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s3/seedsents-rulebased5-s3-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-3","There is a desk and a lamp.","seedsents-maxent-rb1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s3/seedsents-maxent-rb1-s3-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-3","There is a desk and a lamp.","seedsents-maxent1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s3/seedsents-maxent1-s3-00000-2.jpg"
"human","human-3","There is a desk and a lamp.","desc2scene-4153","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4153/desc2scene-4153-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-4","There is a desk and a poster.","seedsents-random1.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s4/seedsents-random1-s4-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-4","There is a desk and a poster.","seedsents-rulebased5.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s4/seedsents-rulebased5-s4-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-4","There is a desk and a poster.","seedsents-maxent-rb1.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s4/seedsents-maxent-rb1-s4-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-4","There is a desk and a poster.","seedsents-maxent1.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s4/seedsents-maxent1-s4-00000-2.jpg"
"human","human-4","There is a desk and a poster.","desc2scene-4187","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4187/desc2scene-4187-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-5","There is a desk and a notepad.","seedsents-random1.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s5/seedsents-random1-s5-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-5","There is a desk and a notepad.","seedsents-rulebased5.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s5/seedsents-rulebased5-s5-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-5","There is a desk and a notepad.","seedsents-maxent-rb1.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s5/seedsents-maxent-rb1-s5-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-5","There is a desk and a notepad.","seedsents-maxent1.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s5/seedsents-maxent1-s5-00000-2.jpg"
"human","human-5","There is a desk and a notepad.","desc2scene-4148","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4148/desc2scene-4148-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-6","There is a desk and a keyboard and a monitor.","seedsents-random1.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s6/seedsents-random1-s6-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-6","There is a desk and a keyboard and a monitor.","seedsents-rulebased5.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s6/seedsents-rulebased5-s6-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-6","There is a desk and a keyboard and a monitor.","seedsents-maxent-rb1.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s6/seedsents-maxent-rb1-s6-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-6","There is a desk and a keyboard and a monitor.","seedsents-maxent1.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s6/seedsents-maxent1-s6-00000-2.jpg"
"human","human-6","There is a desk and a keyboard and a monitor.","desc2scene-4133","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4133/desc2scene-4133-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-7","There is a desk and a monitor and a mouse.","seedsents-random1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s7/seedsents-random1-s7-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-7","There is a desk and a monitor and a mouse.","seedsents-rulebased5.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s7/seedsents-rulebased5-s7-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-7","There is a desk and a monitor and a mouse.","seedsents-maxent-rb1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s7/seedsents-maxent-rb1-s7-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-7","There is a desk and a monitor and a mouse.","seedsents-maxent1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s7/seedsents-maxent1-s7-00000-2.jpg"
"human","human-7","There is a desk and a monitor and a mouse.","desc2scene-2609","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2609/desc2scene-2609-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-8","There is a desk and a monitor and a keyboard and a mouse.","seedsents-random1.s8-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s8/seedsents-random1-s8-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-8","There is a desk and a monitor and a keyboard and a mouse.","seedsents-rulebased5.s8-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s8/seedsents-rulebased5-s8-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-8","There is a desk and a monitor and a keyboard and a mouse.","seedsents-maxent-rb1.s8-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s8/seedsents-maxent-rb1-s8-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-8","There is a desk and a monitor and a keyboard and a mouse.","seedsents-maxent1.s8-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s8/seedsents-maxent1-s8-00000-2.jpg"
"human","human-8","There is a desk and a monitor and a keyboard and a mouse.","desc2scene-4120","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4120/desc2scene-4120-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-9","There is a desk and there is a notepad on the desk. There is a pen next to the notepad.","seedsents-random1.s9-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s9/seedsents-random1-s9-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-9","There is a desk and there is a notepad on the desk. There is a pen next to the notepad.","seedsents-rulebased5.s9-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s9/seedsents-rulebased5-s9-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-9","There is a desk and there is a notepad on the desk. There is a pen next to the notepad.","seedsents-maxent-rb1.s9-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s9/seedsents-maxent-rb1-s9-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-9","There is a desk and there is a notepad on the desk. There is a pen next to the notepad.","seedsents-maxent1.s9-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s9/seedsents-maxent1-s9-00000-2.jpg"
"human","human-9","There is a desk and there is a notepad on the desk. There is a pen next to the notepad.","desc2scene-4207","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4207/desc2scene-4207-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-10","There is a desk and there is a notepad on the desk. There is a pen on the notepad.","seedsents-random1.s10-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s10/seedsents-random1-s10-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-10","There is a desk and there is a notepad on the desk. There is a pen on the notepad.","seedsents-rulebased5.s10-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s10/seedsents-rulebased5-s10-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-10","There is a desk and there is a notepad on the desk. There is a pen on the notepad.","seedsents-maxent-rb1.s10-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s10/seedsents-maxent-rb1-s10-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-10","There is a desk and there is a notepad on the desk. There is a pen on the notepad.","seedsents-maxent1.s10-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s10/seedsents-maxent1-s10-00000-2.jpg"
"human","human-10","There is a desk and there is a notepad on the desk. There is a pen on the notepad.","desc2scene-4197","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4197/desc2scene-4197-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-11","There is a desk and there is a stapler on the desk. There is a notepad to the left of the stapler.","seedsents-random1.s11-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s11/seedsents-random1-s11-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-11","There is a desk and there is a stapler on the desk. There is a notepad to the left of the stapler.","seedsents-rulebased5.s11-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s11/seedsents-rulebased5-s11-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-11","There is a desk and there is a stapler on the desk. There is a notepad to the left of the stapler.","seedsents-maxent-rb1.s11-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s11/seedsents-maxent-rb1-s11-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-11","There is a desk and there is a stapler on the desk. There is a notepad to the left of the stapler.","seedsents-maxent1.s11-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s11/seedsents-maxent1-s11-00000-2.jpg"
"human","human-11","There is a desk and there is a stapler on the desk. There is a notepad to the left of the stapler.","desc2scene-4162","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4162/desc2scene-4162-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-12","There is a desk and there is a stapler on the desk. There is a keyboard to the right of the stapler.","seedsents-random1.s12-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s12/seedsents-random1-s12-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-12","There is a desk and there is a stapler on the desk. There is a keyboard to the right of the stapler.","seedsents-rulebased5.s12-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s12/seedsents-rulebased5-s12-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-12","There is a desk and there is a stapler on the desk. There is a keyboard to the right of the stapler.","seedsents-maxent-rb1.s12-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s12/seedsents-maxent-rb1-s12-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-12","There is a desk and there is a stapler on the desk. There is a keyboard to the right of the stapler.","seedsents-maxent1.s12-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s12/seedsents-maxent1-s12-00000-2.jpg"
"human","human-12","There is a desk and there is a stapler on the desk. There is a keyboard to the right of the stapler.","desc2scene-4184","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4184/desc2scene-4184-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-13","There is a table and a chair.","seedsents-random1.s13-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s13/seedsents-random1-s13-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-13","There is a table and a chair.","seedsents-rulebased5.s13-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s13/seedsents-rulebased5-s13-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-13","There is a table and a chair.","seedsents-maxent-rb1.s13-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s13/seedsents-maxent-rb1-s13-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-13","There is a table and a chair.","seedsents-maxent1.s13-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s13/seedsents-maxent1-s13-00000-2.jpg"
"human","human-13","There is a table and a chair.","desc2scene-4200","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4200/desc2scene-4200-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-14","There is a table and there is a plate on the table.","seedsents-random1.s14-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s14/seedsents-random1-s14-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-14","There is a table and there is a plate on the table.","seedsents-rulebased5.s14-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s14/seedsents-rulebased5-s14-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-14","There is a table and there is a plate on the table.","seedsents-maxent-rb1.s14-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s14/seedsents-maxent-rb1-s14-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-14","There is a table and there is a plate on the table.","seedsents-maxent1.s14-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s14/seedsents-maxent1-s14-00000-2.jpg"
"human","human-14","There is a table and there is a plate on the table.","desc2scene-4183","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4183/desc2scene-4183-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-15","There is a table and there are two plates on the table.","seedsents-random1.s15-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s15/seedsents-random1-s15-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-15","There is a table and there are two plates on the table.","seedsents-rulebased5.s15-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s15/seedsents-rulebased5-s15-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-15","There is a table and there are two plates on the table.","seedsents-maxent-rb1.s15-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s15/seedsents-maxent-rb1-s15-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-15","There is a table and there are two plates on the table.","seedsents-maxent1.s15-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s15/seedsents-maxent1-s15-00000-2.jpg"
"human","human-15","There is a table and there are two plates on the table.","desc2scene-4185","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4185/desc2scene-4185-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-16","There is a table and there is a plate. There is a sandwich on the plate.","seedsents-random1.s16-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s16/seedsents-random1-s16-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-16","There is a table and there is a plate. There is a sandwich on the plate.","seedsents-rulebased5.s16-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s16/seedsents-rulebased5-s16-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-16","There is a table and there is a plate. There is a sandwich on the plate.","seedsents-maxent-rb1.s16-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s16/seedsents-maxent-rb1-s16-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-16","There is a table and there is a plate. There is a sandwich on the plate.","seedsents-maxent1.s16-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s16/seedsents-maxent1-s16-00000-2.jpg"
"human","human-16","There is a table and there is a plate. There is a sandwich on the plate.","desc2scene-4139","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4139/desc2scene-4139-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-17","There is a table and there is a sandwich.","seedsents-random1.s17-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s17/seedsents-random1-s17-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-17","There is a table and there is a sandwich.","seedsents-rulebased5.s17-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s17/seedsents-rulebased5-s17-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-17","There is a table and there is a sandwich.","seedsents-maxent-rb1.s17-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s17/seedsents-maxent-rb1-s17-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-17","There is a table and there is a sandwich.","seedsents-maxent1.s17-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s17/seedsents-maxent1-s17-00000-2.jpg"
"human","human-17","There is a table and there is a sandwich.","desc2scene-4104","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4104/desc2scene-4104-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-18","There is a table and there is a lamp.","seedsents-random1.s18-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s18/seedsents-random1-s18-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-18","There is a table and there is a lamp.","seedsents-rulebased5.s18-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s18/seedsents-rulebased5-s18-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-18","There is a table and there is a lamp.","seedsents-maxent-rb1.s18-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s18/seedsents-maxent-rb1-s18-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-18","There is a table and there is a lamp.","seedsents-maxent1.s18-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s18/seedsents-maxent1-s18-00000-2.jpg"
"human","human-18","There is a table and there is a lamp.","desc2scene-4216","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4216/desc2scene-4216-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-19","There is a table and there is a chair to the left of the table.","seedsents-random1.s19-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s19/seedsents-random1-s19-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-19","There is a table and there is a chair to the left of the table.","seedsents-rulebased5.s19-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s19/seedsents-rulebased5-s19-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-19","There is a table and there is a chair to the left of the table.","seedsents-maxent-rb1.s19-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s19/seedsents-maxent-rb1-s19-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-19","There is a table and there is a chair to the left of the table.","seedsents-maxent1.s19-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s19/seedsents-maxent1-s19-00000-2.jpg"
"human","human-19","There is a table and there is a chair to the left of the table.","desc2scene-4217","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4217/desc2scene-4217-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-20","There is a table and there is a chair to the right of the table.","seedsents-random1.s20-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s20/seedsents-random1-s20-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-20","There is a table and there is a chair to the right of the table.","seedsents-rulebased5.s20-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s20/seedsents-rulebased5-s20-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-20","There is a table and there is a chair to the right of the table.","seedsents-maxent-rb1.s20-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s20/seedsents-maxent-rb1-s20-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-20","There is a table and there is a chair to the right of the table.","seedsents-maxent1.s20-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s20/seedsents-maxent1-s20-00000-2.jpg"
"human","human-20","There is a table and there is a chair to the right of the table.","desc2scene-4221","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4221/desc2scene-4221-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-21","There is a table and there is a lamp on the table.","seedsents-random1.s21-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s21/seedsents-random1-s21-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-21","There is a table and there is a lamp on the table.","seedsents-rulebased5.s21-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s21/seedsents-rulebased5-s21-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-21","There is a table and there is a lamp on the table.","seedsents-maxent-rb1.s21-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s21/seedsents-maxent-rb1-s21-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-21","There is a table and there is a lamp on the table.","seedsents-maxent1.s21-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s21/seedsents-maxent1-s21-00000-2.jpg"
"human","human-21","There is a table and there is a lamp on the table.","desc2scene-4206","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4206/desc2scene-4206-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-22","There is a table and there are two chairs.","seedsents-random1.s22-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s22/seedsents-random1-s22-00000-2.jpg"
